UtcTime,ProcessGuid,ProcessId,Image,CommandLine,ParentImage,ParentCommandLine,ParentProcessId,User,IntegrityLevel,is_malicious,mitre_technique_id,technique_name,label
2024-07-01T16:36:00.624Z,{9D473E3B-57F3-439E-A2A4-B3B94AFB089C},43599,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -NoProfile -Command ""Restart-Service -Name Spooler -Force""",C:\Windows\explorer.exe,C:\Windows\explorer.exe,11755,CORP\sysadmin,High,0,,,benign
2024-07-03T12:21:29.803Z,{4F86EDD8-EC68-4F30-AB80-A8B0B08F0A17},14557,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -NoProfile -Command ""Get-Service | Where-Object {$_.Status -eq 'Running'}""",C:\Windows\explorer.exe,C:\Windows\explorer.exe,35151,CORP\admin,High,0,,,benign
2024-07-01T12:42:55.501Z,{378BB4C8-B755-4A61-9EB8-B986332FD928},35584,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -NoProfile -Command ""Get-ADUser -Filter * -Properties LastLogonDate | Select Name, LastLogonDate""",C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,64302,CORP\sysadmin,High,0,,,benign
2024-07-04T12:05:25.924Z,{AE46325B-92FC-4452-B50B-30856A33B848},56963,C:\Users\itops\Downloads\installer.exe,installer.exe --silent --accept-license,C:\Windows\explorer.exe,C:\Windows\explorer.exe,47812,CORP\itops,High,0,,,benign
2024-07-03T17:23:48.147Z,{BC99AF98-89E3-41F0-81E6-66C707C0F36F},14045,C:\Windows\System32\SearchIndexer.exe,C:\Windows\System32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,40483,NT AUTHORITY\LOCAL SERVICE,System,0,,,benign
2024-07-03T16:26:37.760Z,{9331971D-ABAA-48FE-807F-232667F7177E},48618,C:\Program Files\Slack\Slack.exe,Slack.exe,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",11126,CORP\mjones,Medium,0,,,benign
2024-07-02T19:45:04.013Z,{A6D6BCAF-09BE-439C-85D8-E90DAA128712},61962,C:\Windows\System32\taskeng.exe,taskeng.exe {GUID} S,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs -p -s Schedule,61360,NT AUTHORITY\SYSTEM,System,0,,,benign
2024-07-04T15:36:15.713Z,{A450D23A-1455-4FA3-8279-BB884B773752},15801,C:\Windows\System32\cmd.exe,cmd.exe /c ping google.com,C:\Windows\explorer.exe,C:\Windows\explorer.exe,20659,CORP\analyst01,Medium,0,,,benign
2024-07-05T11:43:29.719Z,{5209B923-CF2C-4E38-A747-E8E99AADC171},44597,C:\Windows\System32\conhost.exe,conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs -p -s Schedule,28988,NT AUTHORITY\SYSTEM,System,0,,,benign
2024-07-02T10:21:57.402Z,{5997840A-F2E2-456D-A329-29442FBD9891},44052,C:\Program Files\Docker\Docker\resources\bin\docker.exe,docker.exe ps -a,C:\Windows\System32\cmd.exe,cmd.exe,9995,CORP\mjones,Medium,0,,,benign
2024-07-05T12:52:22.273Z,{8C4D6442-3EB1-442F-AA33-DEA462DECD57},53096,C:\Windows\System32\cmd.exe,cmd.exe /c hostname,C:\Windows\explorer.exe,C:\Windows\explorer.exe,27011,CORP\netadmin,Medium,0,,,benign
2024-07-02T09:58:06.536Z,{97905ED6-14C8-4B07-9D4A-6D6104B370A1},10758,C:\Windows\System32\cmd.exe,cmd.exe /c arp -a,C:\Windows\explorer.exe,C:\Windows\explorer.exe,16792,CORP\itops,High,0,,,benign
2024-07-01T12:36:02.781Z,{A0376A8F-79C6-423A-AC6E-60E0947336E2},50562,C:\Program Files\Zoom\bin\Zoom.exe,Zoom.exe,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",12481,CORP\netadmin,Medium,0,,,benign
2024-07-04T11:50:45.059Z,{D97093AE-987C-42B9-BFC4-E5F0921BBE7B},54978,C:\Windows\System32\conhost.exe,conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs -p -s Schedule,41431,NT AUTHORITY\SYSTEM,System,0,,,benign
2024-07-04T13:59:55.123Z,{121D05F7-70F9-4172-8B28-248C679BD30C},58002,C:\Windows\System32\wininit.exe,wininit.exe,C:\Windows\System32\smss.exe,smss.exe,51488,NT AUTHORITY\SYSTEM,System,0,,,benign
2024-07-04T10:59:47.985Z,{38B84E84-C521-41BF-89C1-D6C555787F82},58166,C:\Windows\System32\cmd.exe,cmd.exe /c ping 8.8.8.8,C:\Windows\explorer.exe,C:\Windows\explorer.exe,61688,CORP\analyst02,Medium,0,,,benign
2024-07-04T17:52:46.913Z,{0A339E7F-2F8B-439C-8934-BDDE59B44A70},34081,C:\Program Files\Slack\Slack.exe,Slack.exe,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",28966,CORP\netadmin,Medium,0,,,benign
2024-07-03T13:57:34.082Z,{3637C77B-E7CC-40EB-818F-E9EC1F74FA0E},10068,C:\Windows\explorer.exe,explorer.exe C:\Users\pchen\Documents,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",10884,CORP\pchen,Medium,0,,,benign
2024-07-01T11:27:56.409Z,{1EE280B0-0DBD-4992-B740-8B2A215CCF90},49713,C:\Windows\System32\lsass.exe,C:\Windows\System32\lsass.exe,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,29818,NT AUTHORITY\LOCAL SERVICE,System,0,,,benign
2024-07-02T17:05:05.749Z,{755117B7-C1C0-4160-983A-855A5C56546B},32849,C:\Program Files\Adobe\Acrobat DC\Acrobat\Acrobat.exe,Acrobat.exe,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",54478,CORP\pchen,Medium,0,,,benign
2024-07-02T11:44:43.645Z,{E117CA46-4909-4943-86C4-449194BED55C},1609,C:\Windows\System32\msiexec.exe,msiexec.exe /i C:\Installers\app_setup_5.7.89.msi /quiet,C:\Windows\explorer.exe,C:\Windows\explorer.exe,20733,CORP\itops,High,0,,,benign
2024-07-02T03:01:13.174Z,{80DB19E8-86B4-436B-86AD-AA7FDE4853BB},42824,C:\Windows\System32\UsoClient.exe,UsoClient.exe StartInteractiveScan,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs,20124,NT AUTHORITY\SYSTEM,System,0,,,benign
2024-07-02T08:42:07.476Z,{2D3EAE9E-5F75-406D-970E-F70EF15D6AD7},21106,C:\Windows\System32\cmd.exe,cmd.exe /c net localgroup administrators,C:\Windows\explorer.exe,C:\Windows\explorer.exe,11467,CORP\sysadmin,High,0,,,benign
2024-07-05T08:42:52.567Z,{7AA6ED77-9C08-4D69-9F4F-1270D1A2B68B},20620,C:\Windows\explorer.exe,explorer.exe C:\Users\pchen\Documents,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",62063,CORP\pchen,Medium,0,,,benign
2024-07-02T17:36:42.893Z,{CBEF27A4-29EE-474A-AF26-E9A9B1FE1543},64421,C:\Windows\System32\resmon.exe,resmon.exe,C:\Windows\explorer.exe,C:\Windows\explorer.exe,10581,CORP\admin,High,0,,,benign
2024-07-02T12:44:59.699Z,{2B91EAE2-6ED4-4E98-93C3-42B61ECEF12F},43469,C:\Windows\System32\notepad.exe,notepad.exe,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",5679,CORP\mjones,Medium,0,,,benign
2024-07-03T09:58:36.114Z,{B697EF84-0848-463B-9FB4-41E92D62258F},5047,C:\Windows\System32\cmd.exe,cmd.exe /c net view \\fileserver,C:\Windows\explorer.exe,C:\Windows\explorer.exe,55314,CORP\sysadmin,High,0,,,benign
2024-07-04T16:59:17.561Z,{B143EDAD-9643-4AF6-A938-9006A52610ED},30153,C:\Program Files\Mozilla Firefox\firefox.exe,firefox.exe -contentproc -childID 7,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe""",9854,CORP\helpdesk,Low,0,,,benign
2024-07-05T00:40:49.647Z,{3F9A12F9-F957-40B4-A3DB-75F2F17F59C4},26066,C:\Windows\System32\smss.exe,smss.exe,C:\Windows\System32\smss.exe,smss.exe,4547,NT AUTHORITY\SYSTEM,System,0,,,benign
2024-07-05T10:07:48.459Z,{7DA4DF89-CAEC-4C1B-A6E1-852F47F5F977},12329,C:\Windows\System32\msiexec.exe,msiexec.exe /i C:\Installers\app_setup_9.9.86.msi /quiet,C:\Windows\explorer.exe,C:\Windows\explorer.exe,63197,CORP\itops,High,0,,,benign
2024-07-03T17:51:07.815Z,{D1A12DA7-4B98-45B6-93AE-C51146B38DCF},65477,C:\Program Files\Adobe\Acrobat DC\Acrobat\Acrobat.exe,Acrobat.exe,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",38088,CORP\klee,Medium,0,,,benign
2024-07-03T15:45:59.158Z,{1AC50B77-C47A-4EEF-8F06-3B49688CBD66},3617,C:\Windows\System32\mmc.exe,mmc.exe diskmgmt.msc,C:\Windows\explorer.exe,C:\Windows\explorer.exe,11073,CORP\admin,High,0,,,benign
2024-07-04T13:23:06.093Z,{D5FC9BE1-3BC2-4492-A4CC-8117A2AF4060},1340,C:\Windows\System32\cmd.exe,cmd.exe /c netstat -an,C:\Windows\explorer.exe,C:\Windows\explorer.exe,62797,CORP\sysadmin,High,0,,,benign
2024-07-05T11:14:42.603Z,{4235F7B2-8793-4A82-9DC5-957CBB200A2A},54376,C:\Windows\SoftwareDistribution\Download\Install\update.exe,update.exe /quiet /norestart,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs,12491,NT AUTHORITY\SYSTEM,System,0,,,benign
2024-07-02T13:07:47.548Z,{44CD4374-F85B-40C7-A111-8DBD4C33AD0F},63316,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",50950,CORP\klee,Medium,0,,,benign
2024-07-02T16:19:21.501Z,{DA1801AC-3794-4D85-B814-DCC7D2C4C177},26781,C:\Program Files\Git\bin\git.exe,git.exe status,C:\Windows\System32\cmd.exe,cmd.exe,49784,CORP\jsmith,Medium,0,,,benign
2024-07-03T16:31:49.754Z,{AA38BE97-5511-4DAA-9507-C9473FA67781},30290,C:\Program Files\Mozilla Firefox\firefox.exe,firefox.exe -contentproc -childID 7,C:\Program Files\Mozilla Firefox\firefox.exe,"""C:\Program Files\Mozilla Firefox\firefox.exe""",59302,CORP\analyst01,Low,0,,,benign
2024-07-05T05:49:08.443Z,{826F02ED-02F8-4843-8D8A-409E43E4CA1F},33955,C:\Windows\System32\taskhostw.exe,taskhostw.exe,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,60684,NT AUTHORITY\NETWORK SERVICE,System,0,,,benign
2024-07-02T15:47:12.240Z,{DC9483D6-13A5-4D7A-8C2F-7CA3EDAB4F7D},49197,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe https://sharepoint.corp.local/sites/team,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""",16863,CORP\mjones,Medium,0,,,benign
2024-07-03T13:22:40.309Z,{C1436F77-5449-406A-8DA6-307046DFF882},16479,C:\Program Files\Git\bin\git.exe,git.exe pull origin main,C:\Windows\System32\cmd.exe,cmd.exe,65110,CORP\jsmith,Medium,0,,,benign
2024-07-05T11:45:10.318Z,{DA228046-6CA1-42B1-988D-9AE6846AFA59},37099,C:\Program Files\Microsoft VS Code\Code.exe,Code.exe,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",1896,CORP\agarwal,Medium,0,,,benign
2024-07-01T09:43:42.504Z,{8389CDF9-B3FE-4E88-AA56-154A973408C1},41227,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe --type=renderer --field-trial-handle=12345,C:\Program Files\Google\Chrome\Application\chrome.exe,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",1434,CORP\agarwal,Low,0,,,benign
2024-07-03T05:40:56.986Z,{CC90AE03-19BD-4D71-9741-E98FCBACC6BA},6814,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs -p -s wuauserv,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs,54848,NT AUTHORITY\SYSTEM,System,0,,,benign
2024-07-01T15:46:44.463Z,{408B1B79-61D2-4D09-84B9-8B5191B1CAEA},21900,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -NoProfile -Command ""Get-ChildItem -Path C:\Logs -Recurse -Filter *.log""",C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,5402,CORP\itops,High,0,,,benign
2024-07-03T08:48:42.385Z,{9C64DEB8-0532-4458-BBCC-ABF9C5957AD1},56640,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -NoProfile -Command ""Get-ADUser -Filter * -Properties LastLogonDate | Select Name, LastLogonDate""",C:\Windows\explorer.exe,C:\Windows\explorer.exe,49370,CORP\mjones,Medium,0,,,benign
2024-07-03T04:02:22.559Z,{80F6CFC8-4E08-4139-B55D-D0E93E55B92B},23187,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k LocalService -p,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,54314,NT AUTHORITY\NETWORK SERVICE,System,0,,,benign
2024-07-01T12:55:41.129Z,{7D9F65D2-A70D-4EC8-8F0E-30B07EEF5173},46968,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -NoProfile -Command ""Get-Service | Where-Object {$_.Status -eq 'Running'}""",C:\Windows\System32\cmd.exe,C:\Windows\System32\cmd.exe,57759,CORP\sysadmin,High,0,,,benign
2024-07-04T16:33:31.910Z,{BDE09C08-BAD8-4212-B5A5-5E26CD6F4AD2},62509,C:\Windows\System32\cmd.exe,cmd.exe /c net user,C:\Windows\explorer.exe,C:\Windows\explorer.exe,9794,CORP\pchen,Medium,0,,,benign
2024-07-01T13:52:28.104Z,{E6E37AAD-4433-46C3-8427-73FBEB6D5DED},41377,C:\Windows\System32\mmc.exe,mmc.exe compmgmt.msc,C:\Windows\explorer.exe,C:\Windows\explorer.exe,57887,CORP\itops,High,0,,,benign
2024-07-04T08:51:05.843Z,{6228903F-0DA6-4435-B93E-2A48D2763387},10524,C:\Program Files\Adobe\Acrobat DC\Acrobat\Acrobat.exe,Acrobat.exe C:\Users\mjones\Documents\report.pdf,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE""",31911,CORP\mjones,Medium,0,,,benign
2024-07-02T21:36:39.684Z,{AB71E363-9DB7-41EE-9455-CD555A45848A},25837,C:\Program Files\Mozilla Firefox\firefox.exe,firefox.exe,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",23046,CORP\pchen,Medium,0,,,benign
2024-07-04T10:52:43.248Z,{A7D4197B-D3A6-4B69-A1BA-558CFAB50E5D},3069,C:\Windows\System32\cmd.exe,cmd.exe /c robocopy C:\Data D:\Backup /mir,C:\Windows\explorer.exe,C:\Windows\explorer.exe,38523,CORP\itops,High,0,,,benign
2024-07-01T14:55:02.879Z,{E76EFE6F-2517-405B-82A7-84A9F3F6AD0B},31847,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" /n",C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",15577,CORP\pchen,Medium,0,,,benign
2024-07-05T11:07:48.285Z,{9976F442-E498-4A55-B9DF-8F9DFB756687},38624,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k LocalService -p,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,15821,NT AUTHORITY\LOCAL SERVICE,System,0,,,benign
2024-07-01T01:29:22.159Z,{4F01935A-662C-465A-A7E3-5C23F142D820},10070,C:\Windows\System32\smss.exe,smss.exe,C:\Windows\System32\smss.exe,smss.exe,18366,NT AUTHORITY\SYSTEM,System,0,,,benign
2024-07-02T21:35:10.271Z,{7C756EC3-4BEE-4BE5-B060-2E300B25F77F},35581,C:\Program Files\Mozilla Firefox\firefox.exe,firefox.exe,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",58175,CORP\dbadmin,Medium,0,,,benign
2024-07-02T20:19:39.546Z,{7E8D2167-24B8-4252-8E90-A424F5D699F8},7122,C:\Windows\System32\taskhostw.exe,taskhostw.exe,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,33936,NT AUTHORITY\LOCAL SERVICE,System,0,,,benign
2024-07-03T13:39:44.407Z,{E7AD46D5-0165-4793-A983-B1ED74076E44},43587,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""",C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",6263,CORP\agarwal,Medium,0,,,benign
2024-07-04T13:52:36.075Z,{145A22A5-2FEF-4480-BD2D-9B5A0524EDE6},9213,C:\Windows\System32\wbem\WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,64725,NT AUTHORITY\NETWORK SERVICE,System,0,,,benign
2024-07-04T08:35:26.991Z,{BADD0BE9-373E-43BB-A1B3-BEBF5B6CCB04},28296,C:\Windows\System32\cmd.exe,cmd.exe /c netstat -an,C:\Windows\explorer.exe,C:\Windows\explorer.exe,37522,CORP\itops,High,0,,,benign
2024-07-02T16:34:00.641Z,{2F40BD17-BDDC-4A24-940D-DAF6950BCF65},5290,C:\Windows\regedit.exe,regedit.exe,C:\Windows\explorer.exe,C:\Windows\explorer.exe,14813,CORP\admin,High,0,,,benign
2024-07-01T03:53:57.511Z,{2F663A0F-B8EC-4E02-8C69-12DF2F18C3DB},40107,C:\Program Files\Windows Defender\MsMpEng.exe,"""C:\Program Files\Windows Defender\MsMpEng.exe""",C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,36130,NT AUTHORITY\LOCAL SERVICE,System,0,,,benign
2024-07-03T17:34:36.178Z,{8B2AEF9A-AC4E-4ED2-AD8B-45D88D1A4593},25684,C:\Windows\System32\mmc.exe,mmc.exe diskmgmt.msc,C:\Windows\explorer.exe,C:\Windows\explorer.exe,43839,CORP\itops,High,0,,,benign
2024-07-05T17:33:50.429Z,{E96062EA-182A-4B64-83AD-B95564E849F8},8374,C:\Windows\System32\msiexec.exe,msiexec.exe /i C:\Temp\update_8.0.89.msi /passive /norestart,C:\Windows\explorer.exe,C:\Windows\explorer.exe,28160,CORP\itops,High,0,,,benign
2024-07-04T13:39:20.504Z,{7BD71F20-4A14-409A-98DC-2DB115AF013E},59859,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,msedge.exe --type=gpu-process,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe""",58736,CORP\jsmith,Low,0,,,benign
2024-07-04T10:03:42.057Z,{4FC38F6F-B47D-493C-B2FB-40D1B90DF558},14100,C:\Windows\regedit.exe,regedit.exe,C:\Windows\explorer.exe,C:\Windows\explorer.exe,18496,CORP\admin,High,0,,,benign
2024-07-03T12:04:34.481Z,{26D9A30C-1907-4DE0-8AEA-E10FAB92C0E1},12901,C:\Windows\System32\schtasks.exe,"schtasks.exe /run /tn ""\Microsoft\Windows\WindowsUpdate\Automatic App Update""",C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs -p -s Schedule,13595,NT AUTHORITY\SYSTEM,System,0,,,benign
2024-07-03T14:25:37.205Z,{080C92FF-B256-4F7C-9209-3C361A5B7C34},34930,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe https://sharepoint.corp.local/sites/team,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""",2007,CORP\analyst02,Medium,0,,,benign
2024-07-05T09:14:24.394Z,{BCC0A5FB-2C35-4EC8-B9AD-7FE72E43BD41},9664,C:\Program Files\Microsoft OneDrive\OneDrive.exe,OneDrive.exe /sync,C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE,"""C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE""",8115,CORP\netadmin,Medium,0,,,benign
2024-07-02T14:57:03.168Z,{8F955A8A-8D74-4FAC-9125-85377632C326},25836,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""",C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",1141,CORP\analyst02,Medium,0,,,benign
2024-07-03T08:59:04.700Z,{B791E779-43C5-44DD-A6F6-3E6EA3E4B72A},61659,C:\Windows\System32\cmd.exe,cmd.exe /c xcopy C:\Data D:\Backup /s /e,C:\Windows\explorer.exe,C:\Windows\explorer.exe,19374,CORP\helpdesk,Medium,0,,,benign
2024-07-05T06:24:26.464Z,{4B85BF98-FC71-4D21-BAA7-DEDEF88AEEF9},23340,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs -p,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,11315,NT AUTHORITY\SYSTEM,System,0,,,benign
2024-07-05T16:26:10.836Z,{50CE5C9C-2382-4E95-B64D-6A12DFE0EA7E},14087,C:\Windows\System32\spoolsv.exe,C:\Windows\System32\spoolsv.exe,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,53511,NT AUTHORITY\LOCAL SERVICE,System,0,,,benign
2024-07-01T15:08:32.425Z,{3BFF5F5D-FA08-4361-81BF-E5FEA394179D},30936,C:\Windows\System32\cmd.exe,cmd.exe /c net view \\fileserver,C:\Windows\explorer.exe,C:\Windows\explorer.exe,37956,CORP\helpdesk,Medium,0,,,benign
2024-07-05T10:43:24.173Z,{5C792841-D927-46B0-B55D-FC296F422828},10099,C:\Windows\System32\cmd.exe,cmd.exe /c whoami,C:\Windows\explorer.exe,C:\Windows\explorer.exe,18623,CORP\netadmin,Medium,0,,,benign
2024-07-01T16:16:56.550Z,{182563BA-2022-453A-AF7C-1D7C8F61E1D4},54290,C:\Program Files\Google\Chrome\Application\chrome.exe,chrome.exe https://sharepoint.corp.local/sites/team,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""",52995,CORP\analyst01,Medium,0,,,benign
2024-07-01T16:58:02.235Z,{E84637D8-C657-4F6D-9867-D5147D048ACE},14855,C:\Windows\System32\cmd.exe,cmd.exe /c net user,C:\Windows\explorer.exe,C:\Windows\explorer.exe,60065,CORP\netadmin,Medium,0,,,benign
2024-07-01T11:40:43.943Z,{90F97102-0337-4A8F-A896-3F8C46617C30},19833,C:\Program Files\Microsoft VS Code\Code.exe,Code.exe,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",15908,CORP\dbadmin,Medium,0,,,benign
2024-07-03T02:37:42.144Z,{D33A8101-3A9B-4F90-BC97-CEA16460B066},61079,C:\Program Files\Windows Defender\MsMpEng.exe,"""C:\Program Files\Windows Defender\MsMpEng.exe""",C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,23925,NT AUTHORITY\SYSTEM,System,0,,,benign
2024-07-04T04:38:45.960Z,{84432EEC-4A6C-4BD2-A488-C7236E7BADF4},6552,C:\Windows\System32\spoolsv.exe,C:\Windows\System32\spoolsv.exe,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,21288,NT AUTHORITY\NETWORK SERVICE,System,0,,,benign
2024-07-03T02:27:54.108Z,{54AD491B-5D1E-4B9B-A61F-93CBC17B81F1},16945,C:\Windows\System32\wbem\WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,29552,NT AUTHORITY\NETWORK SERVICE,System,0,,,benign
2024-07-04T06:36:11.556Z,{D96E0F74-488E-4208-908C-A67A8CD2048D},23784,C:\Windows\System32\conhost.exe,conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs -p -s Schedule,22212,NT AUTHORITY\SYSTEM,System,0,,,benign
2024-07-03T09:14:22.228Z,{AF780199-C318-4FDC-ABB3-04CC6BD77028},49772,C:\Windows\System32\msiexec.exe,msiexec.exe /i C:\Temp\update_9.2.87.msi /passive /norestart,C:\Windows\explorer.exe,C:\Windows\explorer.exe,58110,CORP\itops,High,0,,,benign
2024-07-03T15:28:28.691Z,{56C7D102-5F23-47A3-877A-16D1DEFF1347},15005,C:\Windows\System32\calc.exe,calc.exe,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",34500,CORP\netadmin,Medium,0,,,benign
2024-07-02T15:20:22.223Z,{B2772214-4657-4485-9493-44527987C8AA},59609,C:\Program Files\Adobe\Acrobat DC\Acrobat\Acrobat.exe,Acrobat.exe C:\Users\dbadmin\Documents\report.pdf,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE""",38598,CORP\dbadmin,Medium,0,,,benign
2024-07-04T13:04:32.663Z,{A61A9421-5F3F-4073-8366-151BDA92C4A5},23362,C:\Program Files\7-Zip\7zFM.exe,7zFM.exe,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",1829,CORP\jsmith,Medium,0,,,benign
2024-07-04T03:47:47.381Z,{AF729311-9763-4E7A-816C-89CD5B1F479C},54200,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k LocalService -p,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,9527,NT AUTHORITY\SYSTEM,System,0,,,benign
